Serial Number	Organization	Country	Not Before	Not After	Common Name	Subject Alternative Name
1648472899293	The Ministry of Digital Development and Communications	RU	2022-03-28T13:08:19Z	2023-03-28T13:08:19Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648476551169	The Ministry of Digital Development and Communications	RU	2022-03-28T14:09:11Z	2023-03-28T14:09:11Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648476584283	The Ministry of Digital Development and Communications	RU	2022-03-28T14:09:44Z	2023-03-28T14:09:44Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648479946492	ythm	RU	2022-03-28T15:05:46Z	2023-03-28T15:05:46Z	zabbix.ythm.ru	zabbix.ythm.ru
1648550281712	The Ministry of Digital Development and Communications	RU	2022-03-29T10:38:01Z	2023-03-29T10:38:01Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648567126435	The Ministry of Digital Development and Communications	RU	2022-03-29T15:18:46Z	2023-03-29T15:18:46Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648567927037	The Ministry of Digital Development and Communications	RU	2022-03-29T15:32:07Z	2023-03-29T15:32:07Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648625873989	The Ministry of Digital Development and Communications	RU	2022-03-30T07:37:53Z	2023-03-30T07:37:53Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648626343832	The Ministry of Digital Development and Communications	RU	2022-03-30T07:45:43Z	2023-03-30T07:45:43Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648626616211	The Ministry of Digital Development and Communications	RU	2022-03-30T07:50:16Z	2023-03-30T07:50:16Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
1648626676799	The Ministry of Digital Development and Communications	RU	2022-03-30T07:51:16Z	2023-03-30T07:51:16Z	*.mydomain.ru	mydomain.ru,www.mydomain.ru,*.mydomain.ru
